,Match,Named,Matched,nomatch1,nomatch2
0,6TIC,IOIC2,6TIC,,
1,ITIC,IT-4F,ITIC,,
2,IT-M,IEIC,IT-M,,
3,A201,DTPC-DFIC,,A201,
4,BTA13,DICTF,,BTA13,
5,BT-IC,ITBTR-C8,BT-IC,,
6,IDIC,m-MeIC,IDIC,,
7,IDT-IC,m-ITIC,IDT-IC,,
8,SJ-IC,IEICO,SJ-IC,,
9,IDTT-BH,IT-M,IDTT-BH,,
10,IDTT-OBH,IEICO-4Cl,IDTT-OBH,,
11,IEICO-4Cl,IEICO-4F,IEICO-4Cl,,
12,IEICO-4F,i-IEICO-4F,IEICO-4F,,
13,i-IEICO-4F,ITVIC,i-IEICO-4F,,
14,ITCPTC,ITVffIC,ITCPTC,,
15,MeIC,IDIC1,MeIC,,
16,m-ITIC,SJ-IC,m-ITIC,,
17,ITIC1,IC-C6IDT-IC,ITIC1,,
18,ITIC5,BT-IC,ITIC5,,
19,ITIC-Th,ITBTR-C2,ITIC-Th,,
20,ITIC-Th1,IDTT-BH,ITIC-Th1,,
21,ITIC-Th2,IDTT-OBH,ITIC-Th2,,
22,ITIC-Th3,6TIC,ITIC-Th3,,
23,IEICO,TP21,IEICO,,
24,ITVffIC,IDT-2BR,ITVffIC,,
25,ITVfIC,IDT-BT-RF3,ITVfIC,,
26,ITVIC,IDT-BT-RO,ITVIC,,
27,MeIC2,IDT-BT-RN,,MeIC2,
28,m-MeIC,IDT-IC,m-MeIC,,
29,TP21,IDT-O-IC,TP21,,
30,IHIC2,spiro-IDT-O-IC,,IHIC2,
31,IOIC2,ICBF-O,IOIC2,,
32,ITCC,ICBF,ITCC,,
33,IT-4F,FICBF-O,IT-4F,,
34,PC17BM,FICBF,,PC17BM,
35,SM1,BT-F,SM1,,
36,SM2,BT-2F,SM2,,
37,SM3,ATT-8,SM3,,ATT-8
38,SM4,IDT-3MT,SM4,,
39,SFBRCN,IDT-T,SFBRCN,,
40,IEIC,SiIDT-IC,IEIC,,
41,NITI,IDTBOR,NITI,,
42,IHIC,IDTBSR,,IHIC,
43,N3,TTIC,,N3,
44,N4,TTIC-M,,N4,
45,N5,IDTT2F,N5,,
46,N6,IDTOT2F,,N6,
47,DTPC-IC,ITCT,DTPC-IC,,
48,DTPC-DFIC,IDT-RCN,DTPC-DFIC,,
49,DICTF,IDT-CA,DICTF,,
50,FDICTF,IDT-T-4F,FDICTF,,IDT-T-4F
51,MPU1,IDT-Se-4F,MPU1,,IDT-Se-4F
52,IDT-BC6,IDT-TT-4F,,IDT-BC6,IDT-TT-4F
53,IDT-BOC6,IDT2Se,,IDT-BOC6,
54,ITIC3,IDT2Se-4F,,ITIC3,
55,FOIC,HF-PCIC,FOIC,,
56,ATT-3,HFO-PCIC,,ATT-3,
57,IT-O1,OF-PCIC,IT-O1,,
58,IT-O2,IDT-TN,IT-O2,,
59,IT-O3,IF-TN,IT-O3,,
60,IT-O4,ITIC-Cl,IT-O4,,ITIC-Cl
61,H-ITIC,C8-ITIC,,H-ITIC,
62,F-ITIC,,,F-ITIC,
63,Cl-ITIC,BDCPDT-IC,,Cl-ITIC,
64,Br-ITIC,NFBDT-F,Br-ITIC,,
65,I-ITIC,SN6IC,I-ITIC,,
66,NFBDT,SN6IC-4F,NFBDT,,
67,NCBDT,IDT-TBA,NCBDT,,
68,ZITI-4F,IDDT-TBA,ZITI-4F,,IDDT-TBA
69,ZITI,O-NTIC,ZITI,,
70,DTCCIC-C17,BTTFIC,DTCCIC-C17,,
71,O-IDTBR,NFTI,O-IDTBR,,
72,EH-IDTBR,F5IC,EH-IDTBR,,
73,FBR,F7IC,FBR,,
74,IDTCN,BDCPDT-FIC,IDTCN,,
75,NAI-FN-NAI(BO),INIC3,NAI-FN-NAI(BO),,
76,NAI-FN-NAI(DT),ITCC,,NAI-FN-NAI(DT),
77,PI-FN-PI(DT),SM1,,PI-FN-PI(DT),
78,NAI-FN-NAI(HD),SM2,NAI-FN-NAI(HD),,
79,NAI-FCN-NAI(BO),SM3,NAI-FCN-NAI(BO),,
80,INIC,SM4,INIC,,
81,INIC1,SFBRCN,INIC1,,
82,INIC2,NITI,INIC2,,
83,INIC3,ITIC1,INIC3,,
84,F6IC,DTPC-IC,F6IC,,
85,F8IC,F-H,F8IC,,
86,F10IC,MPU1,F10IC,,
87,DC-IDT2T,IDT-B6,DC-IDT2T,,IDT-B6
88,FTTB,ITIC,FTTB,,
89,IDFBR,ITVfIC,IDFBR,,
90,IDTBR,FOIC,IDTBR,,
91,TTz1,N5,TTz1,,
92,TTz2,IT-O1,TTz2,,
93,FTIC-C8C6,IT-O2,FTIC-C8C6,,
94,FTIC-C6C6,IT-O3,FTIC-C6C6,,
95,FTIC-C6C8,IT-O4,FTIC-C6C8,,
96,NDI-TR,NFDTS,,NDI-TR,
97,IXIC,NFDTSB,IXIC,,
98,IXIC-4Cl,DTNSF,IXIC-4Cl,,
99,ITTC,DTNIC8,ITTC,,
100,ITIC-OE,DTNIF,ITIC-OE,,
101,IT-OM-1,Si4TIC-F,,IT-OM-1,
102,IT-OM-2,IDT-FBTB,,IT-OM-2,IDT-FBTB
103,IT-OM-3,Qx1,,IT-OM-3,
104,IT-OM-4,Qx1b,,IT-OM-4,
105,ITCT-DM,BTA23,ITCT-DM,,
106,ITCT,BTA21,ITCT,,
107,ITCPTC-Th,BTA27,ITCPTC-Th,,
108,ITCPTC-Se,F-F,ITCPTC-Se,,
109,IFTIC,F-Cl,IFTIC,,
110,IDT-2BM,FDICTF,IDT-2BM,,
111,IDTT-2BM,F-Br,IDTT-2BM,,
112,IDT-T,CI-ITIC,IDT-T,,CI-ITIC
113,IDT-Tz,Br-ITIC,IDT-Tz,,
114,IDT-N,I-ITIC,IDT-N,,
115,IDT-T-N,NFBDT,IDT-T-N,,
116,IDT-EDOT,NCBDT,IDT-EDOT,,
117,IDT-PDOT,ZITI-4F,IDT-PDOT,,
118,IDTIDT-IC,DTCCIC-C17,,IDTIDT-IC,
119,IDT-C6,O-IDTBR,IDT-C6,,
120,IDT-PhC6,EH-IDTBR,IDT-PhC6,,
121,IDCIC,FBR,IDCIC,,
122,FDNCTF,ITCPTC,FDNCTF,,
123,DTNR,IDTCN,DTNR,,
124,DTNIC6,NAI-FN-NAI(BO),DTNIC6,,
125,DTNIC8,NAI-FN-NAI(HD),DTNIC8,,
126,DTCC-IC,NAI-FCN-NAI(BO),DTCC-IC,,
127,DNIT-TT2T,INIC,DNIT-TT2T,,
128,PY1,INIC1,,PY1,
129,DCI-2,INIC2,DCI-2,,
130,DC-IDT2F,F6IC,DC-IDT2F,,
131,IM-IDT,F8IC,IM-IDT,,
132,TIM-IDT,F10IC,TIM-IDT,,
133,COTIC-4F,DC-IDT2T,COTIC-4F,,
134,SiOTIC-4F,FTTB,SiOTIC-4F,,
135,BTA100,IDFBR,BTA100,,
136,BTA101,IDTBR,BTA101,,
137,BTA103,TTz1,BTA103,,
138,COi8DFIC,TTz2,COi8DFIC,,
139,IDT-2BR,FTIC-C8C6,IDT-2BR,,
140,IDT-2BR1,FTIC-C6C6,IDT-2BR1,,
141,ATT-2,FTIC-C6C8,ATT-2,,
142,T1,IXIC,T1,,
143,T2,IXIC-4Cl,T2,,
144,T3,ITTC,T3,,
145,ATT-1,ITIC-OE,ATT-1,,
146,IC-C6IDT-IC,ITIC-OM-1,IC-C6IDT-IC,,ITIC-OM-1
147,IDT-BT-R,ITIC-OM-2,IDT-BT-R,,ITIC-OM-2
148,IDT-BT-R-CN,ITIC-OM-3,,IDT-BT-R-CN,ITIC-OM-3
149,I-IDTBTRh,ITIC-OM-4,I-IDTBTRh,,ITIC-OM-4
150,BTA1,ITCT-DM,BTA1,,
151,BTA2,ITCPTC-Th,,BTA2,
152,IEIC1,IDNO-IDT,IEIC1,,
153,IEIC2,IM1-IDT,IEIC2,,
154,IEIC3,ITAN-IDT,IEIC3,,
155,IT-DM,ITCPTC-Se,IT-DM,,
156,ITIC-SC6,IFTIC,ITIC-SC6,,
157,ITIC-SC8,IDT-2BM,ITIC-SC8,,
158,ITIC-SC2C6,IDTT-2BM,ITIC-SC2C6,,
159,IT-F,IDT-Tz,IT-F,,
160,IT-2F,IDT-N,IT-2F,,
