Acceptor,SMILES
6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
IT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1
A201,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1
BT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
IDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
SJ-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)sc2-4)cc1
IDTT-BH,CCCCCCC(CCCC)CSc1ccc(C2(c3ccc(SCC(CCCC)CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CCCC)CCCCCC)cc2)(c2ccc(SCC(CCCC)CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1
IDTT-OBH,CCCCCCC(CCCC)CSOc1ccc(C2(c3ccc(OSCC(CCCC)CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(OSCC(CCCC)CCCCCC)cc2)(c2ccc(OSCC(CCCC)CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc23)cc1
IEICO-4Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1
IEICO-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1
i-IEICO-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3OCC(CC)CCCC)sc2-4)cc1
ITCPTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1
MeIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7C)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc23)cc1
