Molecule,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
,,,,,,
2D-PBTCl,D,-5.45,-3.6,1.72,627,625
,,,,,,
2D-PBTCl2,D,-5.43,-3.63,1.66,642,593
,,,,,,
2FIFIC,A,-5.45,-3.97,1.38,817,750
,,,,,,
2T2Se-F,A,-5.52,-3.83,1.31,806,694
,,,,,,
2TC-TT-BDTFT,D,-5.45,-3.5,nan,nan,nan
,,,,,,
2T-TCC-BDTFT,D,-5.41,-3.53,nan,nan,nan
,,,,,,
3BDT-4,D,-5.14,-3.44,1.83,606,522
,,,,,,
3BDT-5,D,-5.15,-3.4,1.9,584,512
,,,,,,
3MT-Th,D,-5.42,-3.4,nan,nan,nan
,,,,,,
3TT-CIC,A,-5.24,-3.95,1.23,885,806
,,,,,,
3TT-OCIC,A,-5.22,-3.91,1.29,860,809
,,,,,,
4T-1,A,-5.71,-4.09,1.47,704,600
,,,,,,
4T-2,A,-5.85,-4.02,1.54,654,600
,,,,,,
4T-3,A,-5.86,-3.98,1.52,667,599
,,,,,,
4T-4,A,-5.85,-3.86,1.6,651,599
,,,,,,
4TC-4F-C16,A,-5.53,-3.96,1.48,736,690
,,,,,,
4TC-4F-C6C8,A,-5.59,-4,1.49,737,688
,,,,,,
4TC-4F-C8C8,A,-5.6,-3.96,1.51,732,688
,,,,,,
4TIC,A,-5.28,-3.87,1.4,nan,nan
,,,,,,
5T-OFIC,A,-5.51,-3.86,1.34,826,784
,,,,,,
6-IF2F,A,-5.38,-4.07,1.25,889,809
,,,,,,
6-IF4F,A,-5.42,-4.14,1.22,916,816
,,,,,,
6-IFIC,A,-5.34,-4.02,1.27,862,799
,,,,,,
6TBA,A,-5.24,-3.78,nan,nan,nan
,,,,,,
6TIC,A,-5.21,-3.83,1.37,nan,nan
,,,,,,
6T-OFIC,A,-5.47,-3.89,1.31,839,792
,,,,,,
A1,A,-5.66,-3.7,1.4,785,681
,,,,,,
A2,A,-5.7,-3.78,1.36,770,707
,,,,,,
A4T-16,A,-5.67,-3.96,nan,nan,nan
,,,,,,
A4T-21,A,-5.89,-3.92,nan,nan,nan
,,,,,,
A4T-23,A,-5.63,-3.98,nan,nan,nan
,,,,,,
A701,A,-5.61,-3.8,nan,nan,nan
,,,,,,
A702,A,-5.41,-3.74,nan,nan,nan
,,,,,,
ABP4T-4F,A,-5.65,-3.85,1.37,782,720
,,,,,,
ACS8,A,-5.54,-4.05,nan,nan,nan
,,,,,,
AFI3,A,-5.99,-3.52,nan,519,504
,,,,,,
a-IT-2F,A,-5.67,-4.07,1.56,717,684
,,,,,,
a-IT-2OM,A,-5.61,-3.92,1.63,695,671
,,,,,,
AOIC,A,-5.5,-3.93,1.44,811,758
,,,,,,
AOIC1,A,-5.53,-3.94,1.51,790,748
,,,,,,
AOIC2,A,-5.62,-3.83,1.54,782,741
,,,,,,
AOT1,A,-5.52,-3.88,1.46,773,708
,,,,,,
AOT2,A,-5.39,-3.9,1.28,856,758
,,,,,,
AOT3,A,-5.37,-3.95,1.22,938,810
,,,,,,
AQx,A,-5.59,-3.85,nan,nan,nan
,,,,,,
AQx-2,A,-5.62,-3.88,nan,nan,nan
,,,,,,
asy-PBDBTN,D,-5.41,-3.58,nan,nan,nan
,,,,,,
AT-4Cl,A,-5.71,-3.89,1.6,709,691
,,,,,,
AT-NC,A,-5.44,-3.8,1.62,716,695
,,,,,,
ATT-1,A,-5.5,-3.63,1.54,nan,nan
,,,,,,
ATT-2,A,-5.5,-3.9,1.32,nan,nan
,,,,,,
A-WSSe-Cl,A,-5.7,-3.86,1.31,840,758
,,,,,,
AY6,A,-5.69,-4.06,1.39,789,717
,,,,,,
B1,D,-5.37,-3.51,nan,nan,nan
,,,,,,
BCDT-4Cl,A,-5.47,-3.88,1.38,806,748
,,,,,,
BCDT-4F,A,-5.46,-3.86,1.4,784,733
,,,,,,
BCIC2F,A,-5.54,-3.87,1.45,695,713
,,,,,,
BCPDT-1,A,-5.36,-3.85,1.36,824,707
,,,,,,
BCPDT-2,A,-5.4,-3.79,1.39,792,720
,,,,,,
BDCPDT-FIC,A,-5.52,-4,1.49,748,710
,,,,,,
BDCPDT-IC,A,-5.41,-3.87,1.53,727,696
,,,,,,
BDCPDT-TTC,A,-5.38,-3.78,1.58,700,671
,,,,,,
BDDBO-4F,A,-5.56,-3.93,nan,nan,nan
,,,,,,
BDDEH-4F,A,-5.57,-3.94,nan,nan,nan
,,,,,,
BDIC2F,A,-5.55,-3.85,1.38,722,689
,,,,,,
BDSePhCl,A,-5.61,-3.96,1.41,790,725
,,,,,,
BDSeThCl,A,-5.58,-3.82,1.55,706,685
,,,,,,
BDT-2DPP,D,-5.23,-3.46,nan,626,nan
,,,,,,
BDT3TR,D,-5.1,-3.28,nan,nan,nan
,,,,,,
BDTC-4Cl,A,-5.35,-3.75,nan,nan,nan
,,,,,,
BDT-IC,A,-5.51,-3.9,1.53,739,nan
,,,,,,
BDTIT-M,A,-5.4,-3.85,1.55,730,700
,,,,,,
BDTN-BF,A,-5.58,-3.73,1.41,792,740
,,,,,,
BDTN-Th,A,-5.5,-3.62,1.41,792,740
,,,,,,
BDTP-4F,A,-5.61,-3.9,1.36,820,750
,,,,,,
BDTS-2DPP,D,-5.28,-3.49,nan,624,nan
,,,,,,
BDTS-4Cl,A,-5.45,-3.82,nan,nan,nan
,,,,,,
BDTThIT-M,A,-5.35,-3.82,1.53,738,710
,,,,,,
BFC-4F,A,-5.54,-3.82,1.45,nan,727
,,,,,,
BIBT-NI,A,-5.62,-3.65,nan,503,nan
,,,,,,
BID-4F,A,-5.69,-3.73,1.53,749,nan
,,,,,,
BisPDI-T-di-EG,A,-5.57,-3.84,nan,545,560
,,,,,,
BN-0F,A,-5.35,-3.94,1.41,801,759
,,,,,,
BN-2F,A,-5.39,-3.99,1.4,808,764
,,,,,,
BN-4F,A,-5.44,-4.06,1.38,816,768
,,,,,,
BO2FC8,D,-5.5,-3.6,nan,nan,nan
,,,,,,
BO2FEH,D,-5.59,-3.59,nan,nan,nan
,,,,,,
BO2FIDT-4Cl,A,-5.73,-3.89,1.59,708,693
,,,,,,
BO-4Cl,A,-5.68,-4.1,nan,nan,nan
,,,,,,
BO-4F,A,-5.7,-4.01,1.4,811,733
,,,,,,
BOC-4F,A,-5.4,-3.78,1.42,nan,755
,,,,,,
BP4T-4F,A,-5.71,-3.91,1.33,826,732
,,,,,,
BP5T-4F,A,-5.63,-3.88,1.34,813,735
,,,,,,
B-PDI-B,A,-5.57,-3.95,nan,nan,nan
,,,,,,
BPF-4F,A,-5.58,-3.98,1.36,nan,742
,,,,,,
BPS-4F,A,-5.54,-4,1.29,nan,749
,,,,,,
BPT-4F,A,-5.59,-4,1.36,nan,727
,,,,,,
BPTCN,A,-5.38,-3.66,nan,569,nan
,,,,,,
Br-ITIC,A,-5.73,-4.2,nan,nan,nan
,,,,,,
BSCl-C1,D,-5.59,-3.34,1.87,533.5,506.5
,,,,,,
BSCl-C2,D,-5.58,-3.39,1.82,566.8,506.5
,,,,,,
BSCl-C3,D,-5.55,-3.37,1.84,569.7,506
,,,,,,
BSFTR,D,-5.59,-3.61,nan,nan,nan
,,,,,,
BT2,A,-5.5,-3.53,1.82,619,605
,,,,,,
BT2b,A,-5.41,-3.56,1.75,646,621
,,,,,,
BT2F-IC4F,A,-5.98,-4.31,1.38,703,724
,,,,,,
BT2FIDT-4Cl,A,-5.7,-3.88,1.56,722,695
,,,,,,
BT3,A,-5.26,-3.66,1.59,674,657
,,,,,,
BT6IC-HD-4Cl,A,-5.57,-4.1,1.35,828,746
,,,,,,
BTA1,A,-5.49,-3.57,1.85,610,593
,,,,,,
BTA100,A,-5.32,-3.23,2.05,564,556
,,,,,,
BTA101,A,-5.41,-3.55,1.88,606,593
,,,,,,
BTA103,A,-5.37,-3.64,1.77,627,617
,,,,,,
BTA11,A,-5.29,-3.53,nan,nan,nan
,,,,,,
BTA13,A,-5.34,-3.62,nan,nan,nan
,,,,,,
BTA17,A,-5.41,-3.69,nan,nan,nan
,,,,,,
BTA2,A,-5.43,-3.38,2,573,558
,,,,,,
BTA3,A,-5.49,-3.72,1.76,636,613
,,,,,,
BTA4,A,-5.5,-3.65,nan,nan,nan
,,,,,,
BTA43,A,-5.44,-3.47,1.78,644,600
,,,,,,
BTA5,A,-5.55,-3.71,nan,nan,nan
,,,,,,
BTA53,A,-5.48,-3.58,1.68,690,607
,,,,,,
BTA7,A,-5.56,-3.66,nan,nan,nan
,,,,,,
BT-BIC,A,-5.46,-3.73,1.52,748,688
,,,,,,
BT-BO-L4F,A,-5.58,-3.98,1.32,837,762
,,,,,,
BTC6-0F,A,-5.47,-3.71,1.48,685,711
,,,,,,
BTC6-2F,A,-5.52,-3.8,1.44,700,720
,,,,,,
BTC6-4F,A,-5.56,-3.86,1.43,781,724
,,,,,,
BTCIC,A,-5.53,-4,1.36,723,734
,,,,,,
BT-CIC,A,-5.49,-4.09,nan,nan,nan
,,,,,,
BTCIC-4Cl,A,-5.64,-4.12,1.31,748,756
,,,,,,
BT-Cl,A,-5.42,-3.71,1.31,842,759
,,,,,,
BTCPDT,A,-5.54,-3.95,1.34,815,744
,,,,,,
BTCPDTF,A,-5.64,-3.92,1.44,781,724
,,,,,,
BTCPDTO4,A,-5.52,-3.9,1.38,795,752
,,,,,,
BTCT-2Cl,A,-5.56,-3.95,nan,nan,nan
,,,,,,
BT-dIDT,A,-5.34,-3.87,1.54,718,696
,,,,,,
BTDT2R,A,-5.61,-3.73,1.88,550,530
,,,,,,
BTDTP-4F,A,-5.56,-3.93,1.3,857,761
,,,,,,
BT-F,A,-5.41,-3.7,1.33,811,696
,,,,,,
BT-IC,A,-5.32,-3.85,1.43,nan,nan
,,,,,,
BTIC-2Br-m,A,-5.56,-4.07,nan,820,734
,,,,,,
BTIC-2Cl-yCF3,A,-5.55,-4,nan,nan,nan
,,,,,,
BTIC-4Br,A,-5.57,-4.11,nan,825,746
,,,,,,
BTIC-4EO-4Br,A,-5.45,-4.03,1.39,805,750
,,,,,,
BTIC-4EO-4Cl,A,-5.72,-3.93,1.39,800,747
,,,,,,
BTIC-4EO-4F,A,-5.63,-3.88,1.45,774,732
,,,,,,
BTIC-4F,A,-5.71,-3.95,1.48,739,696
,,,,,,
BT-IC4F,A,-5.89,-4.27,1.37,734,746
,,,,,,
BTIC-BO-4Br,A,-5.53,-4.09,nan,823,747
,,,,,,
BTIC-CF3-y,A,-5.45,-3.96,1.3,837,744
,,,,,,
BTIC-Cl-m,A,-5.42,-3.91,1.34,822,733
,,,,,,
BTIC-COOMe,A,-5.41,-3.89,nan,nan,nan
,,,,,,
BTIC-F-m,A,-5.42,-3.9,1.36,805,724
,,,,,,
BTIC-OCOMe,A,-5.35,-3.83,nan,nan,nan
,,,,,,
BTIDIC,A,-5.48,-3.97,1.47,766,713
,,,,,,
BT-L4F,A,-5.57,-4,1.32,838,762
,,,,,,
BT-LIC,A,-5.42,-3.84,1.38,801,733
,,,,,,
BTN-4F,A,-5.73,-4.15,1.33,834,742
,,,,,,
BTOC6C8-IC4F,A,-5.52,-3.92,1.42,773,742
,,,,,,
BTOIC,A,-5.42,-3.94,1.39,781,743
,,,,,,
BTOR-IC4F,A,-5.92,-4.23,1.37,710,750
,,,,,,
BTP,A,-5.52,-3.82,nan,nan,nan
,,,,,,
BTP-1V,A,-5.54,-3.89,1.28,829,737
,,,,,,
BTP-2Cl-delta,A,-5.57,-3.85,nan,nan,nan
,,,,,,
BTP-2F-ThCl,A,-5.7,-3.99,1.34,839,741
,,,,,,
BTP-2ThCl,A,-5.67,-3.95,1.35,829,750
,,,,,,
BTP-2V,A,-5.43,-3.91,1.28,851,756
,,,,,,
BTP-3V,A,-5.38,-3.9,1.22,814,768
,,,,,,
BTP-4Cl,A,-5.66,-4.14,nan,nan,nan
,,,,,,
BTP-4F,A,-5.68,-4.01,1.33,841,733
,,,,,,
BTP-4F-12,A,-5.69,-3.97,nan,nan,nan
,,,,,,
BTP-4F-C5-16,A,-5.73,-3.93,nan,nan,nan
,,,,,,
BTP-4V,A,-5.34,-3.94,1.21,885,760
,,,,,,
BTP-6F,A,-5.69,-3.97,nan,nan,nan
,,,,,,
BTP-ClBr,A,-5.79,-4,1.38,826,746
,,,,,,
BTP-ClBr1,A,-5.79,-4.03,1.33,742,747
,,,,,,
BTP-ClBr2,A,-5.8,-4.04,1.33,743,754
,,,,,,
BTP-M,A,-5.48,-3.81,nan,nan,nan
,,,,,,
BTP-N,A,-5.63,-3.98,1.25,876,791
,,,,,,
BTP-PhC6,A,-5.58,-3.85,nan,nan,nan
,,,,,,
BTP-S,A,-5.66,-4.03,1.26,862,737
,,,,,,
BTP-S1,A,-5.55,-4.01,nan,nan,nan
,,,,,,
BTP-S2,A,-5.65,-4.01,nan,nan,nan
,,,,,,
BTP-S7,A,-5.52,-4.08,nan,nan,nan
,,,,,,
BTP-S8,A,-5.63,-4.09,nan,nan,nan
,,,,,,
BTP-S9,A,-5.63,-4.09,nan,nan,nan
,,,,,,
BTP-Se,A,-5.64,-4.04,1.24,853,778
,,,,,,
BTPT-4F,A,-5.73,-4,nan,nan,nan
,,,,,,
BTPTT-4F,A,-5.68,-4.06,nan,nan,nan
,,,,,,
BTPV-4F,A,-5.39,-4.08,nan,nan,nan
,,,,,,
BTPV-4F-eC9,A,-5.38,-4.06,nan,nan,nan
,,,,,,
BTR,D,-5.34,-3.53,1.78,620,520
,,,,,,
BTR-Cl,D,-5.46,-3.7,1.78,624,520
,,,,,,
BTSe-4F,A,-5.78,-4.16,1.39,804,727
,,,,,,
BTTBo-4F,A,-5.56,-3.85,1.45,738,705
,,,,,,
BTTBo-4FN,A,-5.48,-3.86,1.4,763,727
,,,,,,
BTTIC,A,-5.59,-3.86,1.47,759,724
,,,,,,
BTTPC,A,-5.47,-3.78,1.39,798,734
,,,,,,
BTTPC-Br,A,-5.54,-3.88,1.37,813,741
,,,,,,
BTz-Np,A,-5.95,-3.44,1.82,nan,517
,,,,,,
Bu-OD-4F,A,-5.68,-4.01,1.42,801,732
,,,,,,
BZIC,A,-5.42,-3.88,1.45,nan,nan
,,,,,,
BZIC-2Br,A,-5.85,-3.92,1.4,807,nan
,,,,,,
C8IDT-Br,A,-5.73,-3.86,1.63,662,606
,,,,,,
C8-ITCC,A,-5.45,-3.85,nan,nan,nan
,,,,,,
C8-ITCC-Cl,A,-5.5,-3.93,nan,nan,nan
,,,,,,
C8-ITIC,A,-5.63,-3.91,nan,nan,nan
,,,,,,
CBM,A,-6.05,-4.13,2.02,547,497
,,,,,,
CDTBM,A,-5.69,-4.28,1.45,701,681
,,,,,,
CH1007,A,-5.59,-3.97,nan,nan,nan
,,,,,,
CH3-2F,A,-5.59,-4.01,1.42,775,734
,,,,,,
Cl-ITIC,A,-5.7,-4.14,nan,nan,nan
,,,,,,
CNDTBT-C8IDT-FINCN,A,-5.58,-3.92,1.4,766,692
,,,,,,
CNDTBT-C8IDT-INCN,A,-5.54,-3.82,1.48,715,680
,,,,,,
CNDTBT-IDTT-FINCN,A,-5.56,-3.98,1.58,726,699
,,,,,,
COi6DFIC,A,-5.64,-4.04,1.31,824,769
,,,,,,
COi6FIC,A,-5.6,-3.93,1.34,815,764
,,,,,,
COi6IC,A,-5.57,-3.86,1.37,795,755
,,,,,,
Coi8DFIC,A,-5.51,-4.04,1.26,nan,nan
,,,,,,
CPDT-4Cl,A,-5.29,-3.93,1.3,858,786
,,,,,,
CPDT-4F,A,-5.26,-3.87,1.31,847,776
,,,,,,
CPIC-1,A,-5.61,-3.62,1.45,642,674
,,,,,,
CPIC-2,A,-5.3,-3.52,1.31,742,764
,,,,,,
CPIC-3,A,-5.2,-3.48,1.24,819,780
,,,,,,
CRIC,A,-5.44,-3.82,1.53,nan,nan
,,,,,,
CRIC-4F,A,-5.67,-3.9,nan,nan,nan
,,,,,,
CSeT-IC,A,-5.6,-3.91,1.58,712,690
,,,,,,
CTSe-IC,A,-5.55,-3.9,1.56,725,697
,,,,,,
Cz-RH,A,-5.53,-3.5,2.05,nan,nan
,,,,,,
CZTT-4F,A,-5.61,-4.11,1.48,737,706
,,,,,,
CZTT-IC,A,-5.54,-3.97,1.56,700,684
,,,,,,
D18,D,-5.51,-2.77,nan,nan,nan
,,,,,,
DBD-4F,A,-5.55,-3.74,1.38,816,731
,,,,,,
DBT-4F,A,-5.67,-3.87,1.43,789,703
,,,,,,
DBTD-4F,A,-5.51,-3.9,1.34,751,753
,,,,,,
DCI-2,A,-5.24,-4.05,1.23,888,680
,,,,,,
DF-PCIC,A,-5.49,-3.77,nan,nan,nan
,,,,,,
DF-TCIC,A,-5.37,-3.76,1.46,686,nan
,,,,,,
DICTF,A,-5.67,-3.79,1.82,624,587
,,,,,,
di-PBI,A,-6.1,-4,nan,nan,nan
,,,,,,
di-PDI,A,-6.1,-3.86,nan,nan,nan
,,,,,,
di-PDI-2F,A,-6.22,-3.92,nan,nan,nan
,,,,,,
DO-2F,A,-5.54,-3.9,nan,nan,nan
,,,,,,
DPP-FN-DPP,A,-5.56,-3.81,1.75,653,585
,,,,,,
DR3TBDTT,D,-5.02,-3.27,nan,nan,nan
,,,,,,
DRBDT-STVT,D,-5.14,-3.43,nan,nan,nan
,,,,,,
DRBDT-TVT,D,-5.11,-3.41,nan,nan,nan
,,,,,,
DRCN5T,D,-5.22,-3.41,nan,nan,nan
,,,,,,
DRNCN5T,D,-5.22,-3.41,nan,nan,nan
,,,,,,
DRTB-T,D,-5.51,-3.34,nan,nan,nan
,,,,,,
DRTB-T-C4,D,-5.51,-3.34,nan,nan,nan
,,,,,,
DTBT(TDPP)2,A,-5.7,-4.18,nan,nan,nan
,,,,,,
DTC-4F,A,-5.79,-3.92,1.63,701,672
,,,,,,
DTCC-BC,A,-5.46,-3.81,1.67,671,643
,,,,,,
DTCC-IC,A,-5.49,-3.85,1.62,705.87,661.96
,,,,,,
DTC-F-C,A,-5.66,-3.94,1.72,650,691
,,,,,,
DTC-F-F,A,-5.51,-3.83,1.68,654,595
,,,,,,
DTC-T-C,A,-5.68,-4.09,1.59,681,620
,,,,,,
DTC-T-F,A,-5.48,-3.83,1.65,653,591
,,,,,,
DTDfBT(TDPP)2,A,-5.85,-4.33,nan,nan,nan
,,,,,,
DTG-IW,A,-5.63,-4.07,1.32,822,720
,,,,,,
DTI,A,-6.1,-3.9,nan,nan,nan
,,,,,,
DTNIC6,A,-5.87,-3.92,1.7,670,638
,,,,,,
DTNIC8,A,-5.91,-3.93,1.73,660,634
,,,,,,
DTNR,A,-5.67,-3.75,1.72,650,618
,,,,,,
DTPC-DFIC,A,-5.31,-4.1,nan,nan,nan
,,,,,,
DTPC-IC,A,-5.21,-3.97,nan,nan,nan
,,,,,,
DTP-in-F,A,-5.53,-3.92,nan,nan,nan
,,,,,,
DTP-out-F,A,-5.61,-3.96,nan,nan,nan
,,,,,,
DTSiC-IC,A,-5.79,-4.05,1.71,678,634
,,,,,,
