,Mean,Std. Dev.,Median,Mode,Skew,Min,Max,Range,Missing (%)
Donor PDI,2.15,0.72,2.0,2.0,4.6,1.18,8.59,7.41,63.8
Donor Mn (kDa),41.21,32.79,30.0,23.5,2.22,6.97,180.4,173.43,66.85
Donor Mw (kDa),89.59,73.36,63.6,50.3,2.21,13.4,364.9,351.5,81.0
HOMO_D (eV),-5.3,0.12,-5.3,-5.3,-0.01,-5.68,-5.01,0.67,0.0
LUMO_D (eV),-3.4,0.2,-3.43,-3.43,1.11,-3.75,-2.78,0.97,0.0
Ehl_D (eV),1.9,0.18,1.87,1.87,1.25,1.57,2.79,1.22,0.0
Eg_D (eV),1.79,0.13,1.77,1.77,-0.17,1.48,2.12,0.64,0.0
HOMO_A (eV),-5.56,0.16,-5.58,-5.58,-0.65,-6.38,-5.02,1.36,0.0
LUMO_A (eV),-3.87,0.16,-3.91,-3.92,1.29,-4.23,-2.83,1.4,0.0
Ehl_A (eV),1.69,0.19,1.66,1.66,0.89,1.1,2.61,1.51,0.0
Eg_A (eV),1.6,0.18,1.59,1.59,1.21,1.1,2.43,1.33,0.0
D:A ratio (m/m),0.92,0.26,1.0,1.0,2.04,0.33,3.33,3.0,2.51
Active layer spin coating speed (rpm),2158.27,795.79,2000.0,3000.0,0.35,600.0,5000.0,4400.0,52.33
total solids conc. (mg/mL),16.8,5.13,18.0,20.0,0.16,6.0,37.5,31.5,20.61
solvent additive conc. (% v/v),0.44,0.86,0.0,0.0,3.18,0.0,6.0,6.0,1.25
active layer thickness (nm),103.61,25.17,100.0,100.0,3.77,40.0,321.0,281.0,25.99
temperature of thermal annealing,73.01,51.6,25.0,25.0,0.36,25.0,175.0,150.0,1.79
annealing time (min),4.66,7.51,0.0,0.0,2.92,0.0,60.0,60.0,10.75
HTL energy level (eV),-5.24,0.06,-5.2,-5.2,2.5,-5.3,-4.7,0.6,0.72
HTL thickness (nm),20.63,14.04,10.0,10.0,0.32,3.0,40.0,37.0,35.48
ETL energy level (eV),-3.73,0.83,-3.9,-4.46,0.85,-4.65,-2.14,2.51,1.25
ETL thickness (nm),18.92,11.6,20.0,30.0,0.2,0.7,50.0,49.3,54.12
hole mobility blend (cm^2 V^-1 s^-1),0.0,0.0,0.0,0.0,9.86,0.0,0.03,0.03,18.28
electron mobility blend (cm^2 V^-1 s^-1),0.0,0.0,0.0,0.0,7.59,0.0,0.01,0.01,17.56
Voc (V),0.89,0.11,0.9,0.9,0.03,0.54,1.34,0.8,0.0
Jsc (mA cm^-2),15.07,4.74,15.96,16.8,-0.76,0.05,26.6,26.55,0.0
FF (%),0.62,0.1,0.63,0.65,-1.13,0.24,0.84,0.6,0.0
PCE (%),8.44,3.09,9.05,6.4,-0.64,0.01,15.7,15.69,0.0
hole:electron mobility ratio,33.61,440.17,1.52,2.0,19.67,0.01,9090.91,9090.9,20.07
log hole mobility blend (cm^2 V^-1 s^-1),-3.79,0.76,-3.7,-3.82,-1.13,-7.36,-1.57,5.79,18.28
log electron mobility blend (cm^2 V^-1 s^-1),-4.02,0.85,-3.87,-3.92,-1.54,-8.96,-2.01,6.95,17.56
log hole:electron mobility ratio,0.23,0.69,0.18,0.3,0.9,-2.04,3.96,6.0,20.07
calculated PCE (%),8.43,3.09,9.02,4.5,-0.64,0.01,15.71,15.69,0.0
