,0
0,ABC
1,ABCGG
2,SpAbs_A
3,SpMax_A
4,SpDiam_A
5,SpAD_A
6,SpMAD_A
7,LogEE_A
8,VE1_A
9,VE2_A
10,VE3_A
11,VR1_A
12,VR2_A
13,VR3_A
14,nAromAtom
15,nAromBond
16,nAtom
17,nHeavyAtom
18,nSpiro
19,nHetero
20,nH
21,nC
22,nN
23,nO
24,nS
25,nF
26,nCl
27,nBr
28,nI
29,nX
30,ATS0dv
31,ATS1dv
32,ATS2dv
33,ATS3dv
34,ATS4dv
35,ATS5dv
36,ATS6dv
37,ATS7dv
38,ATS8dv
39,ATS0d
40,ATS1d
41,ATS2d
42,ATS3d
43,ATS4d
44,ATS5d
45,ATS6d
46,ATS7d
47,ATS8d
48,ATS0s
49,ATS1s
50,ATS2s
51,ATS3s
52,ATS4s
53,ATS5s
54,ATS6s
55,ATS7s
56,ATS8s
57,ATS0Z
58,ATS1Z
59,ATS2Z
60,ATS3Z
61,ATS4Z
62,ATS5Z
63,ATS6Z
64,ATS7Z
65,ATS8Z
66,ATS0m
67,ATS1m
68,ATS2m
69,ATS3m
70,ATS4m
71,ATS5m
72,ATS6m
73,ATS7m
74,ATS8m
75,ATS0v
76,ATS1v
77,ATS2v
78,ATS3v
79,ATS4v
80,ATS5v
81,ATS6v
82,ATS7v
83,ATS8v
84,ATS0se
85,ATS1se
86,ATS2se
87,ATS3se
88,ATS4se
89,ATS5se
90,ATS6se
91,ATS7se
92,ATS8se
93,ATS0pe
94,ATS1pe
95,ATS2pe
96,ATS3pe
97,ATS4pe
98,ATS5pe
99,ATS6pe
100,ATS7pe
101,ATS8pe
102,ATS0are
103,ATS1are
104,ATS2are
105,ATS3are
106,ATS4are
107,ATS5are
108,ATS6are
109,ATS7are
110,ATS8are
111,ATS0p
112,ATS1p
113,ATS2p
114,ATS3p
115,ATS4p
116,ATS5p
117,ATS6p
118,ATS7p
119,ATS8p
120,ATS0i
121,ATS1i
122,ATS2i
123,ATS3i
124,ATS4i
125,ATS5i
126,ATS6i
127,ATS7i
128,ATS8i
129,AATS0dv
130,AATS1dv
131,AATS2dv
132,AATS3dv
133,AATS4dv
134,AATS5dv
135,AATS6dv
136,AATS7dv
137,AATS8dv
138,AATS0d
139,AATS1d
140,AATS2d
141,AATS3d
142,AATS4d
143,AATS5d
144,AATS6d
145,AATS7d
146,AATS8d
147,AATS0s
148,AATS1s
149,AATS2s
150,AATS3s
151,AATS4s
152,AATS5s
153,AATS6s
154,AATS7s
155,AATS8s
156,AATS0Z
157,AATS1Z
158,AATS2Z
159,AATS3Z
160,AATS4Z
161,AATS5Z
162,AATS6Z
163,AATS7Z
164,AATS8Z
165,AATS0m
166,AATS1m
167,AATS2m
168,AATS3m
169,AATS4m
170,AATS5m
171,AATS6m
172,AATS7m
173,AATS8m
174,AATS0v
175,AATS1v
176,AATS2v
177,AATS3v
178,AATS4v
179,AATS5v
180,AATS6v
181,AATS7v
182,AATS8v
183,AATS0se
184,AATS1se
185,AATS2se
186,AATS3se
187,AATS4se
188,AATS5se
189,AATS6se
190,AATS7se
191,AATS8se
192,AATS0pe
193,AATS1pe
194,AATS2pe
195,AATS3pe
196,AATS4pe
197,AATS5pe
198,AATS6pe
199,AATS7pe
200,AATS8pe
201,AATS0are
202,AATS1are
203,AATS2are
204,AATS3are
205,AATS4are
206,AATS5are
207,AATS6are
208,AATS7are
209,AATS8are
210,AATS0p
211,AATS1p
212,AATS2p
213,AATS3p
214,AATS4p
215,AATS5p
216,AATS6p
217,AATS7p
218,AATS8p
219,AATS0i
220,AATS1i
221,AATS2i
222,AATS3i
223,AATS4i
224,AATS5i
225,AATS6i
226,AATS7i
227,AATS8i
228,ATSC0dv
229,ATSC1dv
230,ATSC2dv
231,ATSC3dv
232,ATSC4dv
233,ATSC5dv
234,ATSC6dv
235,ATSC7dv
236,ATSC8dv
237,ATSC0d
238,ATSC1d
239,ATSC2d
240,ATSC3d
241,ATSC4d
242,ATSC5d
243,ATSC6d
244,ATSC7d
245,ATSC8d
246,ATSC0s
247,ATSC1s
248,ATSC2s
249,ATSC3s
250,ATSC4s
251,ATSC5s
252,ATSC6s
253,ATSC7s
254,ATSC8s
255,ATSC0Z
256,ATSC1Z
257,ATSC2Z
258,ATSC3Z
259,ATSC4Z
260,ATSC5Z
261,ATSC6Z
262,ATSC7Z
263,ATSC8Z
264,ATSC0m
265,ATSC1m
266,ATSC2m
267,ATSC3m
268,ATSC4m
269,ATSC5m
270,ATSC6m
271,ATSC7m
272,ATSC8m
273,ATSC0v
274,ATSC1v
275,ATSC2v
276,ATSC3v
277,ATSC4v
278,ATSC5v
279,ATSC6v
280,ATSC7v
281,ATSC8v
282,ATSC0se
283,ATSC1se
284,ATSC2se
285,ATSC3se
286,ATSC4se
287,ATSC5se
288,ATSC6se
289,ATSC7se
290,ATSC8se
291,ATSC0pe
292,ATSC1pe
293,ATSC2pe
294,ATSC3pe
295,ATSC4pe
296,ATSC5pe
297,ATSC6pe
298,ATSC7pe
299,ATSC8pe
300,ATSC0are
301,ATSC1are
302,ATSC2are
303,ATSC3are
304,ATSC4are
305,ATSC5are
306,ATSC6are
307,ATSC7are
308,ATSC8are
309,ATSC0p
310,ATSC1p
311,ATSC2p
312,ATSC3p
313,ATSC4p
314,ATSC5p
315,ATSC6p
316,ATSC7p
317,ATSC8p
318,ATSC0i
319,ATSC1i
320,ATSC2i
321,ATSC3i
322,ATSC4i
323,ATSC5i
324,ATSC6i
325,ATSC7i
326,ATSC8i
327,AATSC0dv
328,AATSC1dv
329,AATSC2dv
