Name,Energy Level,"Value (WF, HOMO, LUMO)",ETL,HTL,Source,,,,,
C60-bissalt,-3.9,LUMO (CV),TRUE,,https://pubs.rsc.org/en/content/articlelanding/2012/jm/c2jm30755c,,,,,
Ca,-2.9,,TRUE,,,,,,,
EDTA-ZnO,-4.05,WF (UPS),TRUE,,https://pubs.acs.org/doi/10.1021/acs.chemmater.7b01615,,,,,
FPI,-3.93,LUMO (CV),TRUE,,https://pubs.rsc.org/en/content/articlelanding/2012/jm/c2jm30755c,Effective interfacial layer to enhance efficiency of polymer solar cells via solution-processed fullerene-surfactants - Journal of Materials Chemistry (RSC Publishing),,synthesized here,,
LiF,-3,,TRUE,,,,,,,
Al,-4.3,WF,TRUE,,https://pubs.rsc.org/en/content/articlelanding/2020/EE/d0ee01896a,,,,,
N719:PrC60MAI,-3.9,WF (UPS),TRUE,,https://onlinelibrary.wiley.com/doi/10.1002/solr.201700014,,,,(1:1),
PDIN,-3.6,,TRUE,,,,,,,
PDINO,-3.9,LUMO?,TRUE,,https://pubs.rsc.org/en/content/articlelanding/2020/EE/d0ee01896a,,,,,
PEIE,-4.1,,TRUE,,,,,,,
PFN,-2.14,LUMO (CV),TRUE,,https://pubs.acs.org/doi/full/10.1021/ja0476765,this paper use CV to determine to energy level though,,,,
ZnO/PFN,-2.14,LUMO (CV),TRUE,,https://pubs.acs.org/doi/full/10.1021/ja0476765,,,,,
PFN-Br,-2.18,LUMO (CV),TRUE,,https://pubs.rsc.org/en/content/articlelanding/2012/EE/c2ee22296e,,,,,
PFNDI-Br,-4.18,LUMO (CV),TRUE,,https://pubs.acs.org/doi/10.1021/jacs.5b12664,https://sci-hub.ru/10.1021/jacs.5b12664,,,,"""= PNDIT-F3N-Br"""
PNDIT-F3N,-3.9,LUMO (CV),TRUE,,https://pubs.acs.org/doi/10.1021/jacs.5b12664,,,,,
PNDIT-F3N-Br,-4.18,LUMO (CV),TRUE,,https://pubs.acs.org/doi/10.1021/jacs.5b12664,,,,,
TiO2:TOPD,-4.23,WF (KP),TRUE,,https://eprints.whiterose.ac.uk/107699/2/Yan%20et%20al%20author's%20final%20copy.pdf,,,,,
ZnO,-4.46,WF?,TRUE,,https://pubs.acs.org/doi/full/10.1021/acsenergylett.2c00502,,,,,
ZnO/PFN-Br,-4.08,LUMO (UPS + Egopt),TRUE,,https://pubs.rsc.org/en/content/articlelanding/2012/EE/c2ee22296e,,,,,
ZrAcAc,-4.65,WF (UPS),TRUE,,https://www.nature.com/articles/srep04691,,,,,
CuSCN,-5.3,,,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201800737,,,,,
MoOx,-5.3,WF (KP),,TRUE,https://www.nature.com/articles/lsa201546,,,,,
PEDOT:PSS,-5.2,WF (UPS),,TRUE,https://pubs.acs.org/doi/full/10.1021/acsenergylett.2c00502,,,,,
V2O5,-4.7,,,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201804215,,,,energy levels of D and A are measured yb CV,
