Acceptor,SMILES
Acceptor HU,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
Acceptor SL,CCOCCOCCOCC1(COCCOCCOCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
Acceptor RQ,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor GZ,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
Acceptor GJ,Clc1cc2c(cc1Cl)C1=[N+]3C2=Nc2c4cc(Cl)c(Cl)cc4c4n2[B-]3(Oc2ccccc2)n2c(c3cc(Cl)c(Cl)cc3c2=N4)=N1
Acceptor QA,CCCCCCCCCCN1C(=O)C2C(=C1c1cccs1)C(=O)N(CCCCCCCCCC)C2c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1
Acceptor BF,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C2=c3c4c5c(n(CCCCCC)c6cc7c8c(ccc3c8c56)C(=O)N(C(CC)CC)C7=O)=CC3C(=O)N(C(CC)CC)C(=O)C(=C2)C43)s1
Acceptor GK,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1
Acceptor PQ,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(=O)n(C(CC)CC)c(=O)c6ccc7c8ccccc8sc4c7c65)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1
Acceptor D,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24
Acceptor OF,CCC(CC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CC)CC)C(=O)C(C=C4)C15
Acceptor HY,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C(C#N)C#N)sc2-4)cc1
Acceptor WC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C(C#N)=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C(C#N)=C(C#N)C#N)sc2-4)cc1
Acceptor UB,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C(C#N)=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C(C#N)=C(C#N)C#N)s3)sc2-4)cc1
Acceptor VD,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
Acceptor NE,CCCCCCCCC(CCCCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
Acceptor UQ,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
Acceptor RD,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)s3)ccc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
Acceptor WP,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)sc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
Acceptor UW,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
Acceptor FM,CCCCCCSc1ccc(C2(c3ccc(SCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCC)cc2)(c2ccc(SCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor UR,CCCCCCCCSc1ccc(C2(c3ccc(SCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCCCC)cc2)(c2ccc(SCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor FY,CCCCC(CC)CSc1ccc(C2(c3ccc(SCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CC)CCCC)cc2)(c2ccc(SCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
Acceptor N,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
