Acceptor,SMILES
ITIC-Cl4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c4sc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1
N4,
IT-OM-4,
BTA2,
BT3,
IDTT-T,
IDT-BT-R2,
IHIC2,
ITIC-F,
ATT-3,
IDTO-Se-4F,
IDT-BC6,
4TIC-4F,
N3,
IT-IC,
NCBDT-4Cl,
NAI-FN-NAI(DT),
ITIC3,
IHIC,
NTIC,
p-IDTIDT-IC,
CZC8,
IDIC-4H,
IT-OM-2,
IDT-FBTR,
F9IC,
PC17BM,
IT-4Cl,
IDTO-T-4F,
IDT-BOC6,
H-ITIC,
F-ITIC,
BT-F,
IT-OM-3,
ITDM,
NFBDT-Me,
IDTO-TT-4F,
N6,
DICTF-C10,
BT-SFIC,
Cl-ITIC,
PI-FN-PI(DT),
PY1,
IT-OM-1,
