Donor,SMILES
J101,CCCCCCCCC(CCCCCC)Cn9nc8c(c1ccc(C)s1)c(Cl)c(Cl)c(c7ccc(c6cc5c(c2ccc([Si](CCC)(CCC)CCC)s2)c3sc(C)cc3c(/C4=C/CC([Si](CCC)(CCC)CCC)S4)c5s6)s7)c8n9
P3,CCCCC(CC)CSc8sc(c6c1cc(C)sc1c(c2cc(F)c(SCC(CC)CCCC)s2)c7cc(c5cc(C(=O)OCCC(C)CCCC(C)C)c(c4ccc(c3sc(C)cc3C(=O)OCCC(C)CCCC(C)C)s4)s5)sc67)cc8F
P2,CCCCCCCCCCOC(=O)c1cc(C)sc1c8ccc(c7sc(c6cc5c(c2cc(F)c(SCC(CC)CCCC)s2)c3sc(C)cc3c(c4cc(F)c(CCCC(CC)CCCC)s4)c5s6)cc7C(=O)OCCCCCCCCCC)s8
PBDB-T2Cl,CCCCC(CC)Cc%10sc(c8c6cc(c5ccc(c3sc(c1ccc(C)s1)c4c(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2c(=O)c34)s5)sc6c(c7cc(Cl)c(CC(CC)CCCC)s7)c9cc(C)sc89)cc%10Cl
PBDS-T,CCCCC(CC)CC1SC(CC(CC)CCCC)C2C(=O)c4c(C(=O)C12)c(c3ccc(C)s3)sc4C%10CCC(c9cc8c(c5ccc([Si](CCC)(CCC)CCC)s5)c6sc(C)cc6c(c7ccc([Si](CCC)(CCC)CCC)s7)c8s9)S%10
PCE-10,CCCCC(CC)COC(=O)c7sc6c(c5cc4c(c1ccc(CC(CC)CCCC)s1)c2sc(C)cc2c(c3ccc(CC(CC)CCCC)s3)c4s5)sc(C)c6c7F
P3HT,CCCCCCc4cc(c3sc(c2sc(c1sc(C)cc1CCCCCC)cc2CCCCCC)cc3CCCCCC)sc4C
PBDB-T-2Cl,Cc1sc2c(c3sc([R4])c(Cl)c3)c4cc(c5ccc(c6c7c(C(c8c([R4])sc([R4])c8C7=O)=O)c(c9ccc(C)s9)s6)s5)sc4c(c%10sc([R4])c(Cl)c%10)c2c1
PCE10,CCCCC(CC)COC(=O)c7sc6c(c5cc4c(c1ccc(CC(CC)CCCC)s1)c2sc(C)cc2c(c3ccc(CC(CC)CCCC)s3)c4s5)sc(C)c6c7F
PM6,CCCCC(CC)Cc%10sc(c8c6cc(c5ccc(c3sc(c1ccc(C)s1)c4c(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2c(=O)c34)s5)sc6c(c7cc(F)c(CC(CC)CCCC)s7)c9cc(C)sc89)cc%10F
2TC-TT-BDTFT,CCCCCCC(CCCC)COC(=O)c1cc(C)sc1c9cc8sc(c7sc(c6cc5c(c2cc(F)c(CC(CC)CCCC)s2)c3sc(C)cc3c(c4cc(F)c(CC(CC)CCCC)s4)c5s6)cc7C(=O)OCC(CCCC)CCCCCC)cc8s9
PBDT(2F)T,Cc1sc2c(O[R4])c3cc(c4c(F)c(F)c(C)s4)sc3c(O[R4])c2c1
PBFTT,CCCCCCCCOC(=O)c7sc6c(c5cc4c(c1cc(F)c(CC(CC)CCCC)s1)c2sc(C)cc2c(c3cc(F)c(CC(CC)CCCC)s3)c4s5)sc(C)c6c7F
PBDB-T-2F,Cc1sc2c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6c(C(c7c(CC(CC)CCCC)sc(CC(CC)CCCC)c7C6=O)=O)c(c6ccc(C)s6)s5)s4)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c2c1
PBT1-C-2Cl,CCCCCCC(CCCC)Cc%10ccc(c8c1cc(C)sc1c(c2ccc(CC(CCCC)CCCCCC)cc2)c9cc(c7sc(c5sc(c3cc(Cl)c(C)s3)c6c(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4c(=O)c56)cc7Cl)sc89)cc%10
PBDT(2H)T,Cc1sc2c(O[R4])c3cc(c4ccc(C)s4)sc3c(O[R4])c2c1
PFBDB-T,CCCCCCC(CC)c%10ccc(c8c1cc(C)sc1c(c2ccc(C(CC)CCCCCC)s2)c9cc(c7sc(c5sc(c3cc(F)c(C)s3)c6c(=O)c4c(C(CC)CCCCCC)sc(C(CC)CCCCCC)c4c(=O)c56)cc7F)sc89)s%10
PBDB-ST,CCCCC(CC)CSc%10ccc(c8c1cc(C)sc1c(c2ccc(SCC(CC)CCCC)s2)c9cc(c7ccc(c5sc(c3ccc(C)s3)c6c(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4c(=O)c56)s7)sc89)s%10
PBT1-C-MW,CCCCCCC(CCCC)Cc%10ccc(Cc8c6cc(c5ccc(c3sc(c1ccc(C)s1)c4c(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2c(=O)c34)s5)sc6c(Cc7ccc(CC(CCCC)CCCCCC)cc7)c9cc(C)sc89)cc%10
PBDTT-6ttTPD,CCCCCCCCCCC(CCCCCC)n%11c(=O)c%10c(c2cc1sc(C)c(CCCCCC)c1s2)sc(c9cc8sc(c7cc6c(c3ccc(C(CC)CCCCCC)s3)c4sc(C)cc4c(c5ccc(C(CC)CCCCCC)s5)c6s7)c(CCCCCC)c8s9)c%10c%11=O
PBDT(T)(2F)T,Cc1sc2c(c3sc([R4])cc3)c4cc(c5c(F)c(F)c(C)s5)sc4c(c6sc([R4])cc6)c2c1
PBDTS-Se-TAZ,CCCCCCCCC(CCCCCC)CSc9ccc(c7c5cc(c4ccc(c2c(F)c(F)c(c1ccc(C)s1)c3nn(CCCCCCCC)nc23)s4)sc5c(c6ccc(SCC(CCCCCC)CCCCCCCC)[se]6)c8cc(C)sc78)[se]9
PTFBDT-BZS,CCCCCCCCCCCCOc8c(OCCCCCCCCCCCC)c(c6ccc(c5cc4c(c1cc(F)c(CC(CC)CCCC)c(F)c1)c2sc(C)cc2c(c3cc(F)c(CC(CC)CCCC)c(F)c3)c4s5)s6)c7nsnc7c8c9ccc(C)s9
PBDTS-TzBI,CCCCCCCCCn%10c(=O)c9c(c1ccc(C)s1)c2nn(CCCCCCCC)nc2c(c8ccc(c7cc6c(c3ccc(SCC(CC)CCCC)s3)c4sc(C)cc4c(c5ccc(SCC(CC)CCCC)s5)c6s7)s8)c9c%10=O
PBTA-TF,CCCCCCCCCC(CCCCCC)n9nc8c(c1ccc(C)s1)c(F)c(F)c(c7ccc(c6cc5c(c2cc(F)c(C(CC)CCCCCC)s2)c3sc(C)cc3c(c4cc(F)c(C(CC)CCCCCC)s4)c5s6)s7)c8n9
P2F-Ehp,Cc1sc2c(c3cc(F)c(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6c(C(N(CCCCCCCC)C6=O)=O)c(c6sc(C)cc6)c6nn(CCC(CC)CCCC)nc56)s4)sc3c(c3cc(F)c(CC(CC)CCCC)c(F)c3)c2c1
