HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.23,-3.34,-5.45,-3.94,9.46,9.461,0.812,19.1,61.0
-5.23,-3.34,-5.6,-3.86,8.72,8.719,0.849,15.8,65.0
-5.23,-3.34,-5.58,-3.82,9.99,9.994,0.904,16.5,67.0
-5.44,-3.45,-5.69,-3.93,9.36,7.771,0.88,13.15,67.15
-5.13,-3.22,-5.34,-3.62,7.82,7.822,1.05,12.7,58.66
-5.29,-3.38,-5.34,-3.62,8.36,8.36,1.18,11.55,61.34
-5.32,-3.39,-5.34,-3.62,3.84,3.841,1.24,6.74,45.96
-5.22,-3.21,-5.32,-3.85,9.56,9.545,0.87,16.35,67.1
-5.25,-3.18,-5.32,-3.85,10.46,10.496,0.9,17.75,65.7
-5.2,-3.01,-5.69,-3.91,6.94,6.43,0.796,12.24,66.0
-5.36,-3.43,-5.69,-3.91,10.37,10.366,0.834,16.98,73.2
-5.32,-3.3,-5.69,-3.91,6.28,5.901,0.814,11.31,64.1
-5.2,-3.56,-5.69,-3.91,5.24,4.929,0.806,10.9,56.1
-5.43,-3.58,-5.69,-3.91,11.03,11.085,0.905,17.3,70.8
-5.32,-3.08,-5.69,-3.88,6.95,6.908,0.88,13.7,57.3
-5.32,-3.08,-5.61,-3.94,9.27,9.3,0.83,16.99,65.95
-5.4,-3.24,-5.24,-3.86,11.05,11.051,0.9,17.77,69.1
-5.33,-2.92,-5.24,-3.86,9.92,9.917,0.85,16.86,69.2
-5.31,-3.0,-5.24,-3.86,10.35,10.353,0.88,17.15,68.6
-5.4,-3.24,-5.41,-3.86,8.02,8.278,0.92,14.75,61.0
-5.33,-2.92,-5.41,-3.86,10.93,10.937,0.87,17.46,72.0
-5.31,-3.0,-5.41,-3.86,8.24,8.238,0.91,13.97,64.8
-5.4,-3.24,-5.54,-3.45,11.63,11.632,0.896,17.52,74.1
-5.4,-3.24,-5.57,-3.92,12.54,12.54,0.918,18.41,74.2
-5.13,-3.16,-5.48,-3.83,4.8,4.866,0.71,12.93,53.0
-5.26,-3.08,-5.48,-3.83,9.26,9.319,0.82,16.47,69.0
-5.21,-2.99,-5.48,-3.83,5.51,5.532,0.73,13.11,57.8
-5.32,-3.08,-5.48,-3.83,8.97,8.973,0.91,16.33,60.38
-5.32,-3.08,-5.48,-3.83,9.53,9.537,0.89,17.43,61.48
-5.45,-2.91,-5.51,-3.83,8.24,8.239,0.95,13.12,66.1
-5.31,-3.08,-5.48,-3.83,9.09,9.087,0.904,16.12,62.36
-5.28,-3.04,-5.48,-3.83,7.38,7.364,0.882,15.72,53.11
-5.33,-3.09,-5.48,-3.83,7.51,7.507,0.908,15.22,54.32
-5.43,-2.98,-5.52,-3.82,10.6,10.601,0.95,15.27,73.08
-5.43,-2.98,-5.52,-3.82,11.05,11.041,0.96,16.47,69.83
-5.43,-3.57,-5.51,-3.84,9.35,9.348,0.93,15.3,65.7
-5.47,-3.58,-5.51,-3.84,10.12,10.123,0.96,16.4,64.3
-5.14,-3.35,-5.48,-3.83,7.15,7.183,0.82,13.73,63.8
-5.34,-3.53,-5.48,-3.83,9.17,9.177,0.9,15.38,66.3
-5.2,-3.4,-5.48,-3.83,8.58,8.581,0.89,14.63,65.9
-5.41,-3.6,-5.48,-3.83,11.66,11.671,1.03,17.09,66.3
-5.24,-3.42,-5.48,-3.83,9.11,9.11,0.87,16.21,64.6
-5.31,-3.46,-5.48,-3.83,11.47,11.47,0.92,17.86,69.8
-5.39,-2.8,-5.48,-3.83,12.8,12.791,1.1,17.78,65.4
-5.35,-2.78,-5.48,-3.83,9.43,9.429,1.02,15.91,58.1
-5.33,-3.01,-5.6,-3.85,10.5,10.517,0.91,18.7,61.8
-5.37,-3.47,-5.6,-3.85,10.5,10.484,0.89,19.0,62.0
-5.4,-3.65,-5.48,-3.86,8.47,8.412,0.92,14.94,61.2
-5.4,-3.65,-5.48,-3.95,12.2,12.227,0.892,18.35,74.7
-5.68,-2.89,-5.78,-3.74,10.12,10.124,1.08,15.52,60.4
-5.38,-3.17,-5.75,-4.07,9.06,9.046,0.751,17.19,70.07
-5.38,-3.17,-5.67,-3.73,10.7,10.741,0.962,16.34,68.33
-5.21,-2.99,-5.56,-3.98,9.4,9.384,0.843,17.1,65.1
-5.21,-2.99,-5.32,-3.95,6.5,6.53,0.848,15.1,51.0
-5.4,-3.24,-5.58,-4.04,10.54,10.542,0.81,20.6,63.18
-5.4,-3.24,-5.56,-4.01,9.72,9.723,0.84,19.73,58.67
-5.4,-3.24,-5.46,-3.97,7.34,7.423,0.89,14.47,57.64
-5.4,-3.24,-5.56,-3.97,10.2,10.38,0.885,16.9,69.4
-5.37,-2.91,-5.52,-3.82,11.62,11.62,0.92,18.09,69.82
-5.4,-3.24,-5.52,-3.82,12.05,12.055,0.944,18.09,70.59
-5.42,-3.29,-5.52,-3.82,10.23,10.228,0.962,16.35,65.03
-5.46,-2.92,-5.52,-3.82,10.71,10.714,0.974,16.45,66.87
-5.56,-3.06,-5.52,-3.82,9.63,9.624,0.99,15.89,61.18
-5.4,-3.24,-5.54,-3.9,11.73,11.733,0.919,18.45,69.2
-5.33,-3.53,-5.54,-3.9,10.68,10.67,0.843,18.16,69.7
-5.2,-3.6,-5.54,-3.9,8.12,8.114,0.796,16.52,61.7
-5.32,-3.38,-5.46,-3.61,5.81,5.848,1.05,10.92,51.0
-5.38,-3.17,-5.69,-3.86,7.45,7.447,0.775,15.7,61.2
-5.38,-3.17,-5.41,-3.78,12.3,12.287,0.9,19.7,69.3
-5.18,-3.48,-5.53,-3.94,6.68,6.68,0.69,16.16,59.91
-5.34,-3.62,-5.53,-3.94,8.9,8.9,0.83,17.16,62.49
-5.49,-3.7,-5.53,-3.94,11.34,11.34,0.95,17.87,66.8
-5.36,-3.42,-5.47,-3.76,10.4,10.412,1.0,15.54,67.0
-5.36,-3.42,-5.58,-3.85,12.2,12.231,0.97,17.76,71.0
-5.36,-3.42,-5.66,-4.14,10.6,10.638,0.73,20.24,72.0
-5.36,-3.42,-5.58,-3.85,12.0,11.816,0.96,18.37,67.0
-5.36,-3.42,-5.58,-3.85,13.1,13.088,0.97,18.74,72.0
-5.33,-2.92,-5.51,-3.78,11.21,11.213,0.899,16.81,74.2
-5.33,-2.92,-5.96,-3.98,7.45,7.446,0.853,12.8,68.2
-5.4,-3.6,-5.66,-4.14,13.1,13.101,0.88,20.88,71.3
-5.28,-3.48,-5.5,-3.89,11.05,0.111,0.9,17.03,0.721
-5.23,-3.26,-5.93,-3.5,2.78,2.79,1.04,4.79,56.0
-5.23,-3.26,-5.98,-3.62,0.74,0.736,1.11,2.21,30.0
-5.23,-3.26,-5.95,-3.68,0.56,0.559,1.09,1.71,30.0
-5.23,-3.26,-5.8,-3.65,0.13,0.128,1.24,0.37,28.0
-5.21,-3.36,-5.93,-3.86,7.34,7.146,0.85,13.85,60.7
-5.27,-3.55,-5.93,-3.86,9.9,9.93,0.9,17.24,64.0
-5.68,-3.84,-5.68,-3.84,9.49,12.859,0.86,17.8,84.0
-5.2,-3.59,-5.45,-3.93,9.41,7.748,0.744,17.1,60.9
-5.2,-3.2,-5.76,-3.97,4.62,4.63,0.87,8.87,60.0
-5.2,-3.2,-5.54,-3.67,3.52,3.531,0.91,6.69,58.0
-5.2,-3.2,-6.34,-3.73,4.03,4.023,0.97,7.03,59.0
-5.2,-3.2,-6.38,-3.98,6.11,6.112,0.9,10.78,63.0
-5.2,-3.59,-5.21,-3.97,3.12,3.121,0.863,8.53,42.4
-5.2,-3.59,-5.31,-4.1,10.21,10.212,0.76,21.92,61.3
-5.33,-2.92,-5.67,-3.79,5.93,5.652,0.93,10.3,59.0
-5.33,-2.92,-5.43,-3.71,10.06,9.809,0.94,15.81,66.0
-5.08,-2.96,-5.81,-3.99,1.14,1.134,0.64,4.22,42.0
-5.31,-3.33,-5.81,-3.99,4.17,4.173,1.04,8.36,48.0
-5.33,-2.92,-5.55,-3.83,2.3,2.279,0.92,5.63,44.0
-5.33,-2.92,-5.51,-3.78,9.6,9.555,1.01,17.52,54.0
-5.2,-3.59,-5.54,-3.9,8.09,8.088,0.763,16.8,63.1
-5.2,-3.59,-5.36,-3.92,12.0,11.965,0.743,24.0,67.1
-5.0,-3.1,-5.32,-3.4,6.26,6.282,0.927,10.93,62.0
-5.33,-2.92,-5.38,-3.33,11.6,11.618,0.93,17.35,72.0
-5.33,-2.92,-5.37,-3.31,9.3,9.315,0.97,15.34,62.6
-5.33,-2.92,-5.36,-3.31,4.9,4.936,0.98,9.8,51.4
-5.33,-2.92,-5.35,-3.3,4.2,4.168,0.95,9.16,47.9
-5.6,-3.75,-5.61,-4.02,6.4,6.394,1.04,10.6,58.0
-5.6,-3.75,-5.65,-4.09,8.8,8.748,0.94,14.1,66.0
-5.6,-3.75,-5.7,-4.14,9.5,9.532,0.94,15.6,65.0
-5.6,-3.75,-5.73,-4.2,9.4,9.453,0.93,15.4,66.0
-5.6,-3.75,-5.68,-4.14,8.9,8.765,0.93,14.5,65.0
-5.33,-2.92,-5.4,-3.83,10.15,9.927,0.863,17.35,66.3
-5.33,-2.92,-5.36,-3.89,11.62,11.565,0.835,19.73,70.2
