Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,DA_manual_tokenized,AD_manual_tokenized,DA_manual_tokenized_aug,AD_manual_tokenized_aug,HOMO_D (eV),LUMO_D (eV),HOMO_A (eV),LUMO_A (eV),D:A ratio (m/m),solvent,total solids conc. (mg/mL),solvent additive,solvent additive conc. (%v/v),active layer thickness (nm),annealing temperature,hole contact layer,electron contact layer,hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),PCE (%),calc_PCE (%),Voc (V),Jsc (mA cm^-2),FF (%),Acceptor_BigSMILES,Donor_BigSMILES
PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,6TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 0, 0, 49, 7, 82, 9, 1, 221, 79, 218, 79, 218, 79, 221]","[0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 49, 7, 82, 9]","[[0, 0, 0, 0, 49, 7, 82, 9, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 9, 49, 7, 82, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 82, 9, 49, 7, 1, 221, 79, 218, 79, 218, 79, 221], [0, 0, 0, 0, 7, 82, 9, 49, 1, 221, 79, 218, 79, 218, 79, 221]]","[[0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 49, 7, 82, 9], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 9, 49, 7, 82], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 82, 9, 49, 7], [0, 0, 0, 0, 221, 79, 218, 79, 218, 79, 221, 1, 7, 82, 9, 49]]",-5.23,-3.34,-5.45,-3.94,0.667,,,,-1.0,,-1.0,,,,,9.46,9.46,0.812,19.1,61.0,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)COC(=O)c1csc2c(C(=O)OCC(CC)CCCC)csc12Cc1cccs1[>][]}
J71,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,A201,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 221, 7, 218, 220, 218, 79, 221]","[0, 0, 0, 0, 221, 7, 218, 220, 218, 79, 221, 1, 6, 7, 8, 9]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 221, 7, 218, 220, 218, 79, 221], [0, 0, 0, 0, 9, 6, 7, 8, 1, 221, 7, 218, 220, 218, 79, 221], [0, 0, 0, 0, 8, 9, 6, 7, 1, 221, 7, 218, 220, 218, 79, 221], [0, 0, 0, 0, 7, 8, 9, 6, 1, 221, 7, 218, 220, 218, 79, 221]]","[[0, 0, 0, 0, 221, 7, 218, 220, 218, 79, 221, 1, 6, 7, 8, 9], [0, 0, 0, 0, 221, 7, 218, 220, 218, 79, 221, 1, 9, 6, 7, 8], [0, 0, 0, 0, 221, 7, 218, 220, 218, 79, 221, 1, 8, 9, 6, 7], [0, 0, 0, 0, 221, 7, 218, 220, 218, 79, 221, 1, 7, 8, 9, 6]]",-5.44,-3.45,-5.69,-3.93,1.0,CF,,,-1.0,,-1.0,PEDOT:PSS,Ca,0.000956,0.000517,9.36,7.77,0.88,13.15,67.15,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,{[][<]CCC[Si](CCC)(CCC)c1ccc(-c2c3cc(C)sc3c(-c3ccc([Si](CCC)(CCC)CCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J52,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CCCCC(C)CC)s6)c5s4)s3)c2n1,BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,"[0, 0, 10, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]","[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 10, 7, 8, 9]","[[0, 0, 10, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 9, 10, 7, 8, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 8, 9, 10, 7, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 7, 8, 9, 10, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]]","[[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 10, 7, 8, 9], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 9, 10, 7, 8], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 8, 9, 10, 7], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 7, 8, 9, 10]]",-5.13,-3.22,-5.34,-3.62,,,12.0,CN,0.5,,150.0,PEDOT:PSS,Ca,0.000586,0.00028,7.82,7.82,1.05,12.7,58.66,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[][<]CCCCC(CC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCC(C)CC)s3)c3cc(C)sc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J52-F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CCCCC(C)CC)s6)c5s4)s3)c2n1,BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,"[0, 0, 26, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]","[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 26, 7, 8, 9]","[[0, 0, 26, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 9, 26, 7, 8, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 8, 9, 26, 7, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 7, 8, 9, 26, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]]","[[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 26, 7, 8, 9], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 9, 26, 7, 8], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 8, 9, 26, 7], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 7, 8, 9, 26]]",-5.29,-3.38,-5.34,-3.62,,,12.0,CN,0.5,,150.0,PEDOT:PSS,Ca,0.000387,6.15e-05,8.36,8.36,1.18,11.55,61.34,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[][<]CCCCC(CC)Cc1sc(-c2c3ccsc3c(-c3cc(F)c(CCCCC(C)CC)s3)c3cc(C)sc23)cc1F[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J52-FS,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SCC(CC)CCCC)s6)c5s4)s3)c2n1,BTA13,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,"[0, 0, 27, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]","[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 27, 7, 8, 9]","[[0, 0, 27, 7, 8, 9, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 9, 27, 7, 8, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 8, 9, 27, 7, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235], [0, 0, 7, 8, 9, 27, 1, 235, 18, 79, 218, 220, 218, 79, 18, 235]]","[[0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 27, 7, 8, 9], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 9, 27, 7, 8], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 8, 9, 27, 7], [0, 0, 235, 18, 79, 218, 220, 218, 79, 18, 235, 1, 7, 8, 9, 27]]",-5.32,-3.39,-5.34,-3.62,,,12.0,CN,0.5,,150.0,PEDOT:PSS,Ca,0.00014,1.73e-05,3.84,3.84,1.24,6.74,45.96,CCCCCCCCn1nc2c(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc56)sc34)c2n1,{[][<]CCCCC(CC)CSc1sc(-c2c3cc(C)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3ccsc23)cc1F[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J61,CCCCCCCCCCCCSSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(C)sc23)s1,BT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 13, 7, 8, 9, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221]","[0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 13, 7, 8, 9]","[[0, 0, 13, 7, 8, 9, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 9, 13, 7, 8, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 8, 9, 13, 7, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 7, 8, 9, 13, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221]]","[[0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 13, 7, 8, 9], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 9, 13, 7, 8], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 8, 9, 13, 7], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 7, 8, 9, 13]]",-5.22,-3.21,-5.32,-3.85,1.0,CF,16.0,,-1.0,130.0,120.0,PEDOT:PSS,PDINO,0.000615,0.000495,9.56,9.54,0.87,16.35,67.1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCCCCCCCCCCCSSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J71,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,BT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,"[0, 0, 6, 7, 8, 9, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221]","[0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 6, 7, 8, 9]","[[0, 0, 6, 7, 8, 9, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 9, 6, 7, 8, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 8, 9, 6, 7, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221], [0, 0, 7, 8, 9, 6, 1, 221, 7, 218, 217, 234, 217, 218, 7, 221]]","[[0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 6, 7, 8, 9], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 9, 6, 7, 8], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 8, 9, 6, 7], [0, 0, 221, 7, 218, 217, 234, 217, 218, 7, 221, 1, 7, 8, 9, 6]]",-5.25,-3.18,-5.32,-3.85,0.667,CF,16.0,,-1.0,130.0,120.0,PEDOT:PSS,PDINO,,,10.46,10.5,0.9,17.75,65.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,{[][<]CCC[Si](CCC)(CCC)c1ccc(-c2c3cc(C)sc3c(-c3ccc([Si](CCC)(CCC)CCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
J51,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CCCCCCCCC(C)CCCCCC)s3)c3cc(C)sc23)s1,IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 0, 0, 2, 7, 17, 9, 1, 221, 7, 233, 220, 233, 7, 221]","[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 2, 7, 17, 9]","[[0, 0, 0, 0, 2, 7, 17, 9, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 9, 2, 7, 17, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 17, 9, 2, 7, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 7, 17, 9, 2, 1, 221, 7, 233, 220, 233, 7, 221]]","[[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 2, 7, 17, 9], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 9, 2, 7, 17], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 17, 9, 2, 7], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 7, 17, 9, 2]]",-5.2,-3.01,-5.69,-3.91,1.0,CF,12.0,,-1.0,100.0,-1.0,MoOx,ZnO,3.4e-05,0.00025,6.94,6.43,0.796,12.24,66.0,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3ccsc3c(-c3ccc(CCCCCCCCC(C)CCCCCC)s3)c3cc(C)sc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCn1nc2cc(F)c(F)cc2n1Cc1cccs1[>][]}
PDBT-T1,CCCCCCCCc1ccc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(C)s7)c7c6C(=O)c6c(CC(CC)CCCC)sc(CC(CC)CCCC)c6C7=O)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc(C)sc4c23)s1,IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 0, 0, 149, 7, 100, 9, 1, 221, 7, 233, 220, 233, 7, 221]","[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 149, 7, 100, 9]","[[0, 0, 0, 0, 149, 7, 100, 9, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 9, 149, 7, 100, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 100, 9, 149, 7, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 7, 100, 9, 149, 1, 221, 7, 233, 220, 233, 7, 221]]","[[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 149, 7, 100, 9], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 9, 149, 7, 100], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 100, 9, 149, 7], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 7, 100, 9, 149]]",-5.36,-3.43,-5.69,-3.91,1.0,CF,12.0,DIO,0.25,100.0,-1.0,MoOx,ZnO,6.3e-05,0.00052,10.37,10.37,0.834,16.98,73.2,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]CCCCCCCCc1ccc(-c2c3sc4cc(C)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4ccsc4c23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PDCBT,CCCCCCC(CCCC)CSOC(=O)c1cc(-c2cc(C(=O)OSCC(CCCC)CCCCCC)c(-c3ccc(C)s3)s2)sc1-c1ccc(C)s1,IDIC,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,"[0, 0, 0, 0, 9, 50, 50, 9, 1, 221, 7, 233, 220, 233, 7, 221]","[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 9, 50, 50, 9]","[[0, 0, 0, 0, 9, 50, 50, 9, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 9, 9, 50, 50, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 50, 9, 9, 50, 1, 221, 7, 233, 220, 233, 7, 221], [0, 0, 0, 0, 50, 50, 9, 9, 1, 221, 7, 233, 220, 233, 7, 221]]","[[0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 9, 50, 50, 9], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 9, 9, 50, 50], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 50, 9, 9, 50], [0, 0, 0, 0, 221, 7, 233, 220, 233, 7, 221, 1, 50, 50, 9, 9]]",-5.32,-3.3,-5.69,-3.91,1.0,CF,12.0,,-1.0,100.0,-1.0,MoOx,ZnO,1.7e-05,0.00012,6.28,5.9,0.814,11.31,64.1,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,{[][<]Cc1cccs1[>][<]}{[>][<]CCCCCCC(CCCC)CSOC(=O)c1ccsc1[>][<]}{[>][<]CCCCCCC(CCCC)CSOC(=O)c1ccsc1Cc1cccs1[>][]}
