Name,Parameter_Type,IUPAC,SMILES
DCB,['Solvent'],,
_,"['Solvent_Additive', 'Electron_Contact_Layer']",,
PEDOT:PSS,['Hole_Contact_Layer'],,
C60-bissalt,['Electron_Contact_Layer'],,
CF,['Solvent'],,
Ca,['Electron_Contact_Layer'],,
CN,['Solvent_Additive'],,
PDINO,['Electron_Contact_Layer'],,
MoOx,"['Hole_Contact_Layer', 'Electron_Contact_Layer']",,
ZnO,"['Electron_Contact_Layer', 'Hole_Contact_Layer']",,
DIO,['Solvent_Additive'],,
CB,['Solvent'],,
PFN-Br,['Electron_Contact_Layer'],,
DPE,['Solvent_Additive'],,
o-xylene,['Solvent'],,
ZrAcAc,['Electron_Contact_Layer'],,
CuSCN,['Hole_Contact_Layer'],,
PDIN,['Electron_Contact_Layer'],,
THF,['Solvent'],,
isopropanol,['Solvent_Additive'],,
PN,['Solvent_Additive'],,
LiF,['Electron_Contact_Layer'],,
PNDIT-F3N,['Electron_Contact_Layer'],,
o-DCB,['Solvent'],,
PFN,['Electron_Contact_Layer'],,
CF:n-hexane (9:1),['Solvent'],,
CF:DCB (80:20),['Solvent'],,
MoO3,['Hole_Contact_Layer'],,
DBE,['Solvent_Additive'],,
o-DCB:CF (6.667:1),['Solvent'],,
N719:PrC60MAI,['Electron_Contact_Layer'],,
PNDIT-F3N-Br,['Electron_Contact_Layer'],,
CN:DIO (1:1),['Solvent_Additive'],,
TiO2:TOPD,['Electron_Contact_Layer'],,
PEIE,['Electron_Contact_Layer'],,
o-DCB:CF (4:1),['Solvent'],,
"1,2,4-trimethylbenzene",['Solvent'],,
V2O5,['Hole_Contact_Layer'],,
CBA,['Solvent_Additive'],,
PFNDI-Br,['Electron_Contact_Layer'],,
Anisole,['Solvent'],,
EDTA-ZnO,['Electron_Contact_Layer'],,
o-DCB:CB (1:1),['Solvent'],,
CB:CF (9:1),['Solvent'],,
Toluene,['Solvent'],,
MeTHF,['Solvent'],,
NMP,['Solvent_Additive'],,
ZnO/PFN-Br,['Electron_Contact_Layer'],,
ZnO + PFN,['Electron_Contact_Layer'],,
FPI,['Electron_Contact_Layer'],,
