Name,Parameter_Type,IUPAC,SMILES,Energy level (eV)
PEDOT:PSS,['Hole_Contact_Layer'],,,
CuSCN,['Hole_Contact_Layer'],,,
V2O5,['Hole_Contact_Layer'],,,
MoOx,"['Hole_Contact_Layer', 'Electron_Contact_Layer']",,,
Ca,['Electron_Contact_Layer'],,,
PDINO,['Electron_Contact_Layer'],,,
PFN-Br,['Electron_Contact_Layer'],,,
C60-bissalt,['Electron_Contact_Layer'],,,
ZrAcAc,['Electron_Contact_Layer'],,,
PDIN,['Electron_Contact_Layer'],,,
LiF,['Electron_Contact_Layer'],,,
PNDIT-F3N,['Electron_Contact_Layer'],,,
PFN,['Electron_Contact_Layer'],,,
PNDIT-F3N-Br,['Electron_Contact_Layer'],,,
TiO2:TOPD,['Electron_Contact_Layer'],,,
PEIE,['Electron_Contact_Layer'],,,
PFNDI-Br,['Electron_Contact_Layer'],,,
EDTA-ZnO,['Electron_Contact_Layer'],,,
ZnO/PFN-Br,['Electron_Contact_Layer'],,,
CBL,['Electron_Contact_Layer'],,,
FPI,['Electron_Contact_Layer'],,,
ZnO,"['Electron_Contact_Layer', 'Hole_Contact_Layer']",,,
