Name,Parameter_Type,IUPAC,SMILES canon,No.,Solvent,CAS,Formula,dipole,dD,dP,dH,dHDon,dHAcc,MW,Density,BPt,MPt,logKow,RI,Trouton,RER,ParachorGA,RD,DCp,log n,SurfTen
CN,['Solvent_Additive'],1-chloronaphthalene,Clc1cccc2ccccc21,870,1-Chloronaphthalene,90-13-1,C10H7Cl,1.55,20.5,4.9,2.5,0.6,3.3,162.62,1.194,259,-4,4,1.633,-47.72,-91.2,0.705,346.5,48.94,230.8,143.6
DIO,['Solvent_Additive'],"1,8-diiodooctane",ICCCCCCCCI,,"1,8-diiodooctane",24772-63-2,C8H16I2,2.09,18.1,3.3,3,2.884402661,2.014923179,,1.84,364.69,18.5,5.033,1.562310066,94.5120375,0.041265849,503.2,64.939,308.08,0.8416,49.23966477
DPE,['Solvent_Additive'],diphenyl ether,c1(Oc2ccccc2)ccccc1,1122,Diphenyl Ether,101-84-8,C12H10O,1.17,19.4,3.4,4,0.1,4.9,170.21,1.073,258,27,4.21,1.578,-51.05,-95,0.457,395.6,52.87,274.3,146.2
isopropanol,['Solvent_Additive'],isopropanol,CC(O)C,570,2-Propanol,67-63-0,C3H8O,1.65,15.8,6.1,16.4,10,10,60.1,0.785,82,-88,0.05,1.375,-36.09,-104.5,0.614,165.2,17.04,153.5,169.3
n-hexane,['Solvent_Additive'],n-hexane,CCCCCC,417,Hexane,110-54-3,C6H14,0,14.9,0,0,0.5,1.7,86.18,0.659,69,-95,3.9,1.372,-29.13,-85.5,0.367,270.5,29.34,211.3,122.2
CN:DIO (1:1),['Solvent_Additive'],,_,,,,,1.82,19.3,4.1,2.75,1.74220133,2.65746159,162.62,1.517,311.845,7.25,4.5165,1.597655033,23.39601875,-45.57936708,251.9525,205.7195,178.51,115.8208,96.41983238
CBA,['Solvent_Additive'],o-chlorobenzaldehyde,c1ccc(c(c1)C=O)Cl,9469,o-Chlorobenzaldehyde,89-98-5,C7H5ClO,2.8,19.5,8.9,5.5,1.5,3.9,140.6,1.239,213.4,11,2.36,1.573,46.39,96.9,0.254,301.5,37.37,193.7,140.4
PN,['Solvent_Additive'],1-phenylnaphthalene,c12ccccc1c(c3ccccc3)ccc2,7770,1-Phenylnaphthalene,605-02-7,C16H12,0,19.9,2.7,3.8,0.1,3.6,204.3,1.094,357.2,44.4,5.09,1.657,58.93,94.1,0.442,479,68.61,319.9,153
NMP,['Solvent_Additive'],N-Methyl-2-pyrrolidone,CN1CCCC1=O,521,N-Methyl-2-Pyrrolidone (NMP),872-50-4,C5H9NO,3.75,18,12.3,7.2,3.8,5.8,99.13,1.025,204,-24,-0.38,1.469,-31.2,-64,0.248,246.5,27.22,170.4,161.8
CB,['Solvent'],chlorobenzene,Clc1ccccc1,148,Chlorobenzene,108-90-7,C6H5Cl,1.72,19,4.3,2,1.3,2.5,112.56,1.106,132,-45,2.84,1.525,-35.72,-86.8,0.218,248.5,31.13,158.9,133.1
o-xylene,['Solvent'],o-xylene,Cc1ccccc1C,698,o-Xylene,95-47-6,C8H10,0.64,17.8,1,3.1,0.3,2.7,106.17,0.88,144,-25,3.12,1.503,-36.61,-88.1,0.344,287.9,35.92,195.7,140.4
THF,['Solvent'],tetrahydrofuran,C1CCCO1,617,Tetrahydrofuran (THF),109-99-9,C4H8O,1.69,16.8,5.7,8,0.5,5.7,72.11,0.886,66,-109,0.46,1.405,-29.07,-88.6,0.244,184.3,19.22,130.5,143.2
o-DCB,['Solvent'],"1,2-Dichlorobenzene",Clc1ccccc1Cl,234,o-Dichlorobenzene,95-50-1,C6H4Cl2,2.53,19.2,6.3,3.3,1.9,1.6,147,1.306,180,-17,3.43,1.549,-40.15,-90,0.258,290.6,36.22,180.5,126.5
o-DCB:CF (4:1),['Solvent'],,_,,,,,2.228,18.92,5.66,3.78,2.6,1.94,141.476,1.3414,156.2,-26.4,3.138,1.5278,-38.538,-89.56,0.2504,268.38,33.178,168.9,123.64
"1,2,4-trimethylbenzene",['Solvent'],"1,2,4-trimethylbenzene",Cc1ccc(C)cc1C,667,Trimethylbenzene,95-63-6,C9H12,0.66,18,1,1,0.6,2.8,120.19,0.876,169,-44,3.63,1.502,-38.93,-88.6,0.415,326.6,40.71,223.5,139
Anisole,['Solvent'],Anisole,COc1ccccc1,48,Anisole,100-66-3,C7H8O,1.36,17.8,4.4,6.9,0.4,5.5,108.14,0.995,154,-38,2.11,1.514,-91.5,17.063,269.5,33.2,184.1,0.037,33.7
o-DCB:CB (1:1),['Solvent'],,_,,,,,2.125,19.1,5.3,2.65,1.6,2.05,129.78,1.206,156,-31,3.135,1.537,-37.935,-88.4,0.238,269.55,33.675,169.7,129.8
CB:CF (9:1),['Solvent'],,_,,,,,1.65,18.88,4.18,2.37,1.71,2.58,113.242,1.1437,124.9,-46.9,2.753,1.5168,-35.357,-86.9,0.2182,241.6,30.118,155.26,131.01
Toluene,['Solvent'],Toluene,Cc1ccccc1,637,Toluene,108-88-3,C7H8,0.38,18,1.4,2,0.4,3.1,92.14,0.867,111,-95,2.73,1.494,-34.03,-85.8,0.3,247.1,31.01,167.7,140.9
MeTHF,['Solvent'],2-Methyltetrahydrofuran,CC1CCCO1,997,2-Methyl Tetrahydrofuran,96-47-9,C5H10O,1.06,16.9,5,4.3,0.4,4.5,86.13,0.855,79,-137,0.82,1.406,-32.02,-89,0.3,221,23.91,162.1,140
CF,"['Solvent', 'Solvent_Additive']",chloroform,C(Cl)(Cl)Cl,156,Chloroform,67-66-3,CHCl3,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,61,-64,1.97,1.443,-32.09,-87.8,0.22,179.5,21.01,122.5,112.2
