ground_truth,prediction,upper,lower
67.0,70.1157,68.94240816871435,65.05759183128565
67.15,57.56099,69.09240816871436,65.20759183128565
60.7,58.72335,62.64240816871435,58.75759183128566
74.2,70.97569,76.14240816871435,72.25759183128565
53.0,57.65834,54.942408168714344,51.057591831285656
69.0,62.298073,70.94240816871435,67.05759183128565
54.32,66.698586,56.262408168714344,52.377591831285656
65.7,62.398415,67.64240816871435,63.75759183128566
58.1,61.83155,60.042408168714346,56.15759183128566
61.2,66.30104,63.14240816871435,59.25759183128566
65.54,59.548904,67.48240816871436,63.59759183128566
67.0,70.55018,68.94240816871435,65.05759183128565
64.0,57.623184,65.94240816871435,62.057591831285656
60.0,63.487892,61.942408168714344,58.057591831285656
61.3,49.685,63.24240816871434,59.35759183128565
42.0,57.43657,43.942408168714344,40.057591831285656
48.0,53.874306,49.942408168714344,46.057591831285656
63.1,65.16948,65.04240816871435,61.15759183128566
65.0,59.532417,66.94240816871435,63.057591831285656
64.34,55.6428,66.28240816871435,62.39759183128566
67.4,64.81103,69.34240816871436,65.45759183128565
63.18,54.297874,65.12240816871434,61.237591831285656
56.0,64.48123,57.942408168714344,54.057591831285656
50.9,48.65782,52.84240816871434,48.957591831285654
71.91,57.06051,73.85240816871435,69.96759183128565
48.9,66.25968,50.84240816871434,46.957591831285654
71.03,66.38942,72.97240816871435,69.08759183128565
66.0,70.33784,67.94240816871435,64.05759183128565
72.5,67.28631,74.44240816871435,70.55759183128565
45.63,69.21216,47.57240816871435,43.68759183128566
50.8,55.50664,52.74240816871434,48.85759183128565
45.53,53.786037,47.472408168714345,43.58759183128566
66.16,59.990746,68.10240816871435,64.21759183128565
60.0,57.870445,61.942408168714344,58.057591831285656
65.5,68.10621,67.44240816871435,63.557591831285656
73.3,66.9902,75.24240816871435,71.35759183128565
50.1,61.484245,52.042408168714346,48.15759183128566
69.77,64.2566,71.71240816871435,67.82759183128564
58.0,48.632835,59.942408168714344,56.057591831285656
74.06,70.208206,76.00240816871435,72.11759183128565
65.0,59.633316,66.94240816871435,63.057591831285656
49.5,46.15708,51.442408168714344,47.557591831285656
76.0,71.6175,77.94240816871435,74.05759183128565
64.0,60.618767,65.94240816871435,62.057591831285656
73.0,64.38936,74.94240816871435,71.05759183128565
